================================================================================
  J/L/P 파일 중국어(한자) 문자 완전 비교 분석 보고서
  생성일시: 2026-04-22 00:36:16
================================================================================

[1/5] J파일 텍스트 추출 중...
  J 원본: 1,036,441자 / J 최종본: 1,038,941자

[2/5] L파일 텍스트 추출 중...
  L 원본: 628,016자 / L 수동완료: 629,360자

[3/5] P파일 텍스트 추출 중...
  P 파일: 313,122자
  P 대체파일 존재함, 추출 중...
  P 대체파일: 313,122자

[4/5] J파일 중국어 문자 비교 분석...

================================================================================
  [J파일] 중국어(한자) 문자 완전 비교 분석
================================================================================

원본 중국어 문자 종류: 5,475개
최종본 중국어 문자 종류: 5,475개
원본 중국어 문자 총 출현: 141,326회
최종본 중국어 문자 총 출현: 141,240회
출현 차이: -86회

--- 중국어 문자 종류 변화 ---
원본에만 있는 문자 (삭제됨): 0개
최종본에만 있는 문자 (추가됨): 0개
공통 문자: 5475개

--- 중국어 문자 출현 빈도 변화 (공통 문자) ---
문자   코드               원본      최종본       차이 상태      
  麂  U+9E82            2        2       +0 동일
  呆  U+5446            9        9       +0 동일
  拢  U+62E2            5        5       +0 동일
  蔌  U+850C            1        1       +0 동일
  蕈  U+8548            3        3       +0 동일
  銈  U+9288            1        1       +0 동일
  堑  U+5811            1        1       +0 동일
  粒  U+F9F9            5        5       +0 동일
  江  U+6C5F          188      188       +0 동일
  綠  U+F93D            3        3       +0 동일
  拌  U+62CC           15       15       +0 동일
  疯  U+75AF            5        5       +0 동일
  熙  U+7199            4        4       +0 동일
  阄  U+9604            3        3       +0 동일
  廉  U+5EC9           10       10       +0 동일
  學  U+5B78           31       31       +0 동일
  茳  U+8333            5        5       +0 동일
  粳  U+7CB3            5        5       +0 동일
  篷  U+7BF7            2        2       +0 동일
  遂  U+9042            5        5       +0 동일
  邦  U+90A6            5        5       +0 동일
  梅  U+6885           15       15       +0 동일
  礙  U+7919            1        1       +0 동일
  吳  U+5433            4        4       +0 동일
  叠  U+53E0            2        2       +0 동일
  彌  U+5F4C            1        1       +0 동일
  束  U+675F           33       33       +0 동일
  枯  U+67AF            6        6       +0 동일
  朝  U+671D           52       52       +0 동일
  毑  U+6BD1            3        3       +0 동일
  媒  U+5A92           14       14       +0 동일
  彷  U+5F77            1        1       +0 동일
  幼  U+5E7C            9        9       +0 동일
  钠  U+94A0            4        4       +0 동일
  减  U+51CF          185      185       +0 동일
  玄  U+7384            4        4       +0 동일
  纂  U+7E82            1        1       +0 동일
  擔  U+64D4            1        1       +0 동일
  雇  U+96C7            2        2       +0 동일
  屩  U+5C69            1        1       +0 동일
  仲  U+4EF2           13       13       +0 동일
  弛  U+5F1B            7        7       +0 동일
  订  U+8BA2           15       15       +0 동일
  筓  U+7B53            2        2       +0 동일
  澳  U+6FB3            1        1       +0 동일
  經  U+7D93           98       98       +0 동일
  恳  U+6073            1        1       +0 동일
  吲  U+5432            1        1       +0 동일
  輻  U+8F3B            4        4       +0 동일
  兩  U+F978            2        2       +0 동일
  典  U+5178           37       37       +0 동일
  陵  U+9675           10       10       +0 동일
  絅  U+7D45            1        1       +0 동일
  榘  U+6998            1        1       +0 동일
  若  U+82E5           33       33       +0 동일
  帮  U+5E2E           22       22       +0 동일
  讶  U+8BB6            1        1       +0 동일
  餕  U+9915            1        1       +0 동일
  绿  U+7EFF           17       17       +0 동일
  陡  U+9661            2        2       +0 동일
  噘  U+5658            4        4       +0 동일
  粔  U+7C94            4        4       +0 동일
  輪  U+8F2A            8        8       +0 동일
  泡  U+6CE1           13       13       +0 동일
  粥  U+7CA5            4        4       +0 동일
  郭  U+90ED            8        8       +0 동일
  滤  U+6EE4            8        8       +0 동일
  邮  U+90AE           11       11       +0 동일
  恰  U+6070            2        2       +0 동일
  黎  U+9ECE            2        2       +0 동일
  傥  U+50A5            1        1       +0 동일
  濑  U+6FD1            1        1       +0 동일
  飘  U+98D8            2        2       +0 동일
  婕  U+5A55            6        6       +0 동일
  技  U+6280           99       99       +0 동일
  沤  U+6CA4            1        1       +0 동일
  嫉  U+5AC9           21       21       +0 동일
  琼  U+743C            1        1       +0 동일
  鲷  U+9CB7            2        2       +0 동일
  係  U+4FC2           12       12       +0 동일
  纵  U+7EB5           13       13       +0 동일
  晤  U+6664            1        1       +0 동일
  再  U+518D           63       63       +0 동일
  究  U+7A76           32       32       +0 동일
  𦃂  U+260C2           1        1       +0 동일
  烹  U+70F9            5        5       +0 동일
  犁  U+7281            5        5       +0 동일
  苑  U+82D1            2        2       +0 동일
  患  U+60A3           21       21       +0 동일
  句  U+53E5           64       64       +0 동일
  腾  U+817E            7        7       +0 동일
  胺  U+80FA           23       23       +0 동일
  恶  U+6076           43       43       +0 동일
  赐  U+8D50            2        2       +0 동일
  咭  U+54AD            2        2       +0 동일
  燕  U+71D5           11       11       +0 동일
  疗  U+7597           19       19       +0 동일
  递  U+9012            3        3       +0 동일
  较  U+8F83           44       44       +0 동일
  落  U+843D           59       59       +0 동일
  衰  U+8870           14       14       +0 동일
  开  U+5F00          131      131       +0 동일
  叽  U+53FD           32       32       +0 동일
  韁  U+97C1            1        1       +0 동일
  蒾  U+84BE            1        1       +0 동일
  懆  U+61C6            2        2       +0 동일
  茫  U+832B            2        2       +0 동일
  桊  U+684A            2        2       +0 동일
  賃  U+8CC3            1        1       +0 동일
  囚  U+56DA            6        6       +0 동일
  其  U+5176           96       96       +0 동일
  熱  U+71B1           14       14       +0 동일
  飛  U+98DB            9        9       +0 동일
  𦂳  U+260B3           1        1       +0 동일
  慢  U+6162           31       31       +0 동일
  酉  U+9149            3        3       +0 동일
  执  U+6267           13       13       +0 동일
  秤  U+79E4            5        5       +0 동일
  範  U+7BC4            1        1       +0 동일
  蛋  U+86CB           66       66       +0 동일
  達  U+9054            6        6       +0 동일
  彬  U+5F6C            2        2       +0 동일
  渭  U+6E2D            4        4       +0 동일
  𢹲  U+22E72           1        1       +0 동일
  罰  U+7F70            4        4       +0 동일
  令  U+4EE4           66       66       +0 동일
  從  U+5F9E            2        2       +0 동일
  掖  U+6396            2        2       +0 동일
  徛  U+5F9B            2        2       +0 동일
  浚  U+6D5A            8        8       +0 동일
  進  U+9032           21       21       +0 동일
  苜  U+82DC            4        4       +0 동일
  唫  U+552B            2        2       +0 동일
  慶  U+6176            1        1       +0 동일
  亥  U+4EA5            4        4       +0 동일
  张  U+5F20           62       62       +0 동일
  卉  U+5349            1        1       +0 동일
  枉  U+6789           11       11       +0 동일
  直  U+76F4          110      110       +0 동일
  渍  U+6E0D            2        2       +0 동일
  逵  U+9035            1        1       +0 동일
  殛  U+6B9B            2        2       +0 동일
  寫  U+5BEB            4        4       +0 동일
  石  U+77F3          157      157       +0 동일
  什  U+4EC0           51       51       +0 동일
  钲  U+94B2            1        1       +0 동일
  辊  U+8F8A            4        4       +0 동일
  妮  U+59AE            1        1       +0 동일
  礼  U+793C           75       75       +0 동일
  虱  U+8671            2        2       +0 동일
  兹  U+5179            3        3       +0 동일
  紂  U+7D02            1        1       +0 동일
  虹  U+8679            6        6       +0 동일
  藠  U+85E0            4        4       +0 동일
  溪  U+6EAA            4        4       +0 동일
  牙  U+7259           38       38       +0 동일
  禺  U+79BA            1        1       +0 동일
  抚  U+629A            3        3       +0 동일
  濡  U+6FE1            1        1       +0 동일
  融  U+878D           43       43       +0 동일
  銀  U+9280            4        4       +0 동일
  俛  U+4FDB            3        3       +0 동일
  萌  U+840C            3        3       +0 동일
  瞎  U+778E            3        3       +0 동일
  動  U+52D5           50       50       +0 동일
  娼  U+5A3C            6        6       +0 동일
  觞  U+89DE            3        3       +0 동일
  蹴  U+8E74            4        4       +0 동일
  色  U+8272          142      142       +0 동일
  嵴  U+5D74            2        2       +0 동일
  園  U+5712            6        6       +0 동일
  喪  U+55AA            4        4       +0 동일
  党  U+515A           20       20       +0 동일
  鲇  U+9C87            1        1       +0 동일
  扈  U+6248            1        1       +0 동일
  棕  U+68D5            3        3       +0 동일
  牍  U+724D            4        4       +0 동일
  住  U+4F4F           64       64       +0 동일
  武  U+6B66           41       41       +0 동일
  夾  U+593E            5        5       +0 동일
  螿  U+87BF            1        1       +0 동일
  常  U+5E38          104      104       +0 동일
  阱  U+9631            3        3       +0 동일
  魢  U+9B62            1        1       +0 동일
  币  U+5E01           12       12       +0 동일
  舵  U+8235            4        4       +0 동일
  納  U+7D0D            3        3       +0 동일
  鯽  U+9BFD            1        1       +0 동일
  錤  U+9324            1        1       +0 동일
  伸  U+4F38            6        6       +0 동일
  快  U+5FEB           53       53       +0 동일
  致  U+81F4           33       33       +0 동일
  虮  U+866E            5        5       +0 동일
  勞  U+F92F            1        1       +0 동일
  烂  U+70C2           15       15       +0 동일
  妊  U+598A            2        2       +0 동일
  学  U+5B66          276      276       +0 동일
  录  U+5F55           42       42       +0 동일
  洄  U+6D04            2        2       +0 동일
  仍  U+4ECD            6        6       +0 동일
  黃  U+9EC3           17       17       +0 동일
  沒  U+6C92            2        2       +0 동일
  伺  U+4F3A            1        1       +0 동일
  區  U+5340            5        5       +0 동일
  娄  U+5A04            4        4       +0 동일
  譜  U+8B5C            3        3       +0 동일
  点  U+70B9          167      167       +0 동일
  淚  U+6DDA            1        1       +0 동일
  榉  U+6989            2        2       +0 동일
  牀  U+7240            1        1       +0 동일
  翰  U+7FF0            4        4       +0 동일
  賤  U+8CE4            2        2       +0 동일
  筒  U+7B52           23       23       +0 동일
  汐  U+6C50            1        1       +0 동일
  棺  U+68FA            8        8       +0 동일
  尿  U+5C3F           16       16       +0 동일
  央  U+592E            7        7       +0 동일
  察  U+5BDF           41       41       +0 동일
  腔  U+8154           14       14       +0 동일
  宇  U+5B87            5        5       +0 동일
  称  U+79F0           28       28       +0 동일
  溉  U+6E89            3        3       +0 동일
  断  U+65AD           55       55       +0 동일
  括  U+62EC            7        7       +0 동일
  庸  U+5EB8            2        2       +0 동일
  觫  U+89EB            1        1       +0 동일
  菜  U+83DC           79       79       +0 동일
  航  U+822A           81       81       +0 동일
  行  U+884C          250      250       +0 동일
  锁  U+9501           15       15       +0 동일
  读  U+8BFB           28       28       +0 동일
  品  U+54C1          130      130       +0 동일
  矶  U+77F6            9        9       +0 동일
  嘛  U+561B            2        2       +0 동일
  親  U+89AA            3        3       +0 동일
  鳖  U+9CD6            2        2       +0 동일
  鉅  U+9245            2        2       +0 동일
  禪  U+79AA            1        1       +0 동일
  勲  U+52F2            1        1       +0 동일
  绠  U+7EE0            1        1       +0 동일
  讵  U+8BB5            2        2       +0 동일
  边  U+8FB9           47       47       +0 동일
  及  U+53CA           68       68       +0 동일
  繆  U+7E46            1        1       +0 동일
  赍  U+8D4D           10       10       +0 동일
  圍  U+570D            2        2       +0 동일
  鲹  U+9CB9            1        1       +0 동일
  问  U+95EE           83       83       +0 동일
  葶  U+8476            1        1       +0 동일
  露  U+9732           34       34       +0 동일
  毅  U+6BC5            8        8       +0 동일
  公  U+516C          154      154       +0 동일
  虏  U+864F            2        2       +0 동일
  示  U+793A           33       33       +0 동일
  加  U+52A0          349      349       +0 동일
  捯  U+636F            1        1       +0 동일
  締  U+7DE0            2        2       +0 동일
  惮  U+60EE            2        2       +0 동일
  芥  U+82A5           19       19       +0 동일
  禮  U+79AE           15       15       +0 동일
  挛  U+631B           13       13       +0 동일
  鍊  U+934A            1        1       +0 동일
  稗  U+7A17            2        2       +0 동일
  养  U+517B           48       48       +0 동일
  闷  U+95F7            6        6       +0 동일
  戞  U+621E            1        1       +0 동일
  載  U+8F09            5        5       +0 동일
  就  U+5C31          265      265       +0 동일
  缆  U+7F06           12       12       +0 동일
  次  U+6B21           93       93       +0 동일
  连  U+8FDE           50       50       +0 동일
  幕  U+5E55           22       22       +0 동일
  袺  U+88BA            2        2       +0 동일
  亂  U+4E82            4        4       +0 동일
  嶪  U+5DAA            1        1       +0 동일
  惠  U+60E0           16       16       +0 동일
  瘕  U+7615            2        2       +0 동일
  鳒  U+9CD2            2        2       +0 동일
  炉  U+7089           13       13       +0 동일
  俞  U+4FDE            1        1       +0 동일
  苓  U+82D3            1        1       +0 동일
  赌  U+8D4C           18       18       +0 동일
  輻  U+FA07            1        1       +0 동일
  於  U+65BC            2        2       +0 동일
  變  U+8B8A           19       19       +0 동일
  薺  U+85BA            1        1       +0 동일
  颊  U+988A           17       17       +0 동일
  臉  U+81C9            2        2       +0 동일
  娱  U+5A31            1        1       +0 동일
  钻  U+94BB           13       13       +0 동일
  黔  U+9ED4            3        3       +0 동일
  傻  U+50BB            2        2       +0 동일
  印  U+5370           68       68       +0 동일
  锵  U+9535            2        2       +0 동일
  㧀  U+39C0            2        2       +0 동일
  擢  U+64E2            1        1       +0 동일
  罩  U+7F69            8        8       +0 동일
  脯  U+812F            2        2       +0 동일
  贱  U+8D31           40       40       +0 동일
  岬  U+5CAC            4        4       +0 동일
  阐  U+9610            1        1       +0 동일
  戎  U+620E            5        5       +0 동일
  顔  U+9854            2        2       +0 동일
  穊  U+7A4A            2        2       +0 동일
  欧  U+6B27            4        4       +0 동일
  脓  U+8113            3        3       +0 동일
  唇  U+5507            6        6       +0 동일
  互  U+4E92           34       34       +0 동일
  芋  U+828B            7        7       +0 동일
  焊  U+710A            6        6       +0 동일
  誦  U+8AA6            2        2       +0 동일
  流  U+6D41          142      142       +0 동일
  谧  U+8C27            1        1       +0 동일
  男  U+7537           21       21       +0 동일
  鲛  U+9C9B            5        5       +0 동일
  截  U+622A          108      108       +0 동일
  蜺  U+873A            1        1       +0 동일
  衔  U+8854            8        8       +0 동일
  義  U+7FA9           26       26       +0 동일
  砠  U+7820            2        2       +0 동일
  兀  U+5140            1        1       +0 동일
  漉  U+6F09            2        2       +0 동일
  波  U+6CE2           98       98       +0 동일
  弶  U+5F36            2        2       +0 동일
  胞  U+80DE           76       76       +0 동일
  疮  U+75AE            8        8       +0 동일
  袋  U+888B            6        6       +0 동일
  敤  U+6564            2        2       +0 동일
  硫  U+786B           11       11       +0 동일
  問  U+554F            5        5       +0 동일
  掃  U+6383            1        1       +0 동일
  夜  U+591C           47       47       +0 동일
  剩  U+5269           10       10       +0 동일
  㺢  U+3EA2            1        1       +0 동일
  丽  U+4E3D           17       17       +0 동일
  洞  U+6D1E           15       15       +0 동일
  蛤  U+86E4            4        4       +0 동일
  伤  U+4F24           31       31       +0 동일
  框  U+6846            8        8       +0 동일
  蛱  U+86F1            4        4       +0 동일
  协  U+534F           12       12       +0 동일
  漈  U+6F08            2        2       +0 동일
  婿  U+5A7F            1        1       +0 동일
  毒  U+6BD2           41       41       +0 동일
  棋  U+68CB           22       22       +0 동일
  屁  U+5C41            1        1       +0 동일
  木  U+6728           68       68       +0 동일
  計  U+8A08           35       35       +0 동일
  貨  U+8CA8           13       13       +0 동일
  鱗  U+9C57            2        2       +0 동일
  轮  U+8F6E           44       44       +0 동일
  允  U+5141            5        5       +0 동일
  座  U+5EA7           53       53       +0 동일
  闗  U+95D7            1        1       +0 동일
  岭  U+5CAD            7        7       +0 동일
  亨  U+4EA8            1        1       +0 동일
  镃  U+9543            1        1       +0 동일
  酚  U+915A           11       11       +0 동일
  堂  U+5802           30       30       +0 동일
  匡  U+5321            6        6       +0 동일
  黏  U+9ECF           10       10       +0 동일
  攟  U+651F            1        1       +0 동일
  废  U+5E9F            6        6       +0 동일
  净  U+51C0          107      107       +0 동일
  救  U+6551          108      108       +0 동일
  溫  U+6EAB            3        3       +0 동일
  鍼  U+937C            2        2       +0 동일
  職  U+8077            3        3       +0 동일
  蟲  U+87F2           19       19       +0 동일
  零  U+F9B2            1        1       +0 동일
  影  U+5F71           63       63       +0 동일
  临  U+4E34           29       29       +0 동일
  撂  U+6482            2        2       +0 동일
  券  U+5238           15       15       +0 동일
  茭  U+832D            7        7       +0 동일
  渠  U+6E20            6        6       +0 동일
  獗  U+7357            3        3       +0 동일
  辨  U+8FA8            6        6       +0 동일
  盘  U+76D8           36       36       +0 동일
  耐  U+8010           37       37       +0 동일
  凌  U+51CC            8        8       +0 동일
  膣  U+81A3            2        2       +0 동일
  瘧  U+7627            1        1       +0 동일
  蔬  U+852C            2        2       +0 동일
  铆  U+94C6            1        1       +0 동일
  陪  U+966A            5        5       +0 동일
  薩  U+85A9            1        1       +0 동일
  帖  U+5E16            8        8       +0 동일
  枳  U+67B3            2        2       +0 동일
  碣  U+78A3            3        3       +0 동일
  深  U+6DF1           65       65       +0 동일
  氐  U+6C10            2        2       +0 동일
  歹  U+6B79            1        1       +0 동일
  会  U+4F1A          227      227       +0 동일
  磅  U+78C5            2        2       +0 동일
  逼  U+903C            8        8       +0 동일
  崇  U+5D07            4        4       +0 동일
  坼  U+577C            1        1       +0 동일
  縑  U+7E11            1        1       +0 동일
  奇  U+5947           49       49       +0 동일
  旧  U+65E7          127      127       +0 동일
  螀  U+8780            3        3       +0 동일
  轸  U+8F78            1        1       +0 동일
  狗  U+72D7           42       42       +0 동일
  觀  U+89C0            2        2       +0 동일
  术  U+672F          126      126       +0 동일
  膨  U+81A8            6        6       +0 동일
  久  U+4E45           85       85       +0 동일
  尚  U+5C1A           18       18       +0 동일
  七  U+4E03           36       36       +0 동일
  朽  U+673D            2        2       +0 동일
  跲  U+8DF2            2        2       +0 동일
  理  U+F9E4            1        1       +0 동일
  舟  U+821F           14       14       +0 동일
  缫  U+7F2B            1        1       +0 동일
  畜  U+755C            7        7       +0 동일
  择  U+62E9           16       16       +0 동일
  毫  U+6BEB           13       13       +0 동일
  坑  U+5751           10       10       +0 동일
  柱  U+67F1           38       38       +0 동일
  祉  U+7949            2        2       +0 동일
  梆  U+6886            2        2       +0 동일
  坟  U+575F            4        4       +0 동일
  股  U+80A1           21       21       +0 동일
  偶  U+5076           16       16       +0 동일
  或  U+6216            8        8       +0 동일
  珈  U+73C8            2        2       +0 동일
  兢  U+5162            8        8       +0 동일
  细  U+7EC6           80       80       +0 동일
  見  U+898B            6        6       +0 동일
  比  U+6BD4           78       78       +0 동일
  橹  U+6A79            1        1       +0 동일
  輳  U+8F33            1        1       +0 동일
  下  U+4E0B          258      258       +0 동일
  罽  U+7F7D            2        2       +0 동일
  糾  U+7CFE            1        1       +0 동일
  嵌  U+5D4C            4        4       +0 동일
  碴  U+78B4            3        3       +0 동일
  堲  U+5832            2        2       +0 동일
  纺  U+7EBA           55       55       +0 동일
  觖  U+89D6            3        3       +0 동일
  孙  U+5B59           17       17       +0 동일
  龙  U+9F99           43       43       +0 동일
  胰  U+80F0            1        1       +0 동일
  劫  U+52AB           70       70       +0 동일
  減  U+6E1B           27       27       +0 동일
  悦  U+60A6            4        4       +0 동일
  随  U+968F           23       23       +0 동일
  溝  U+6E9D            3        3       +0 동일
  件  U+4EF6          108      108       +0 동일
  也  U+4E5F          147      147       +0 동일
  体  U+4F53          259      259       +0 동일
  闺  U+95FA            5        5       +0 동일
  凝  U+51DD           25       25       +0 동일
  云  U+4E91           42       42       +0 동일
  龟  U+9F9F           16       16       +0 동일
  盗  U+76D7           20       20       +0 동일
  點  U+9EDE           30       30       +0 동일
  坡  U+5761            8        8       +0 동일
  靖  U+9756            7        7       +0 동일
  臏  U+81CF            1        1       +0 동일
  杭  U+676D            2        2       +0 동일
  菽  U+83FD            1        1       +0 동일
  塘  U+5858            3        3       +0 동일
  醱  U+91B1            2        2       +0 동일
  诵  U+8BF5            4        4       +0 동일
  买  U+4E70           38       38       +0 동일
  油  U+6CB9           84       84       +0 동일
  杵  U+6775            1        1       +0 동일
  評  U+8A55            1        1       +0 동일
  托  U+6258           22       22       +0 동일
  隘  U+9698            2        2       +0 동일
  權  U+6B0A            4        4       +0 동일
  规  U+89C4           43       43       +0 동일
  镜  U+955C           62       62       +0 동일
  岸  U+5CB8           18       18       +0 동일
  膚  U+819A            1        1       +0 동일
  壮  U+58EE           11       11       +0 동일
  殭  U+6BAD            1        1       +0 동일
  琥  U+7425            1        1       +0 동일
  胗  U+80D7            3        3       +0 동일
  蓠  U+84E0            1        1       +0 동일
  枅  U+6785            2        2       +0 동일
  块  U+5757           20       20       +0 동일
  廓  U+5ED3            2        2       +0 동일
  彀  U+5F40            1        1       +0 동일
  鳜  U+9CDC            1        1       +0 동일
  穀  U+7A40            4        4       +0 동일
  時  U+6642           10       10       +0 동일
  绕  U+7ED5            7        7       +0 동일
  悚  U+609A            1        1       +0 동일
  搁  U+6401            3        3       +0 동일
  枞  U+679E            2        2       +0 동일
  试  U+8BD5           23       23       +0 동일
  銜  U+929C            1        1       +0 동일
  肼  U+80BC            3        3       +0 동일
  炸  U+70B8           15       15       +0 동일
  园  U+56ED           22       22       +0 동일
  璡  U+74A1            1        1       +0 동일
  审  U+5BA1            8        8       +0 동일
  檻  U+6ABB            1        1       +0 동일
  顎  U+984E            1        1       +0 동일
  霖  U+9716            2        2       +0 동일
  转  U+8F6C           39       39       +0 동일
  枡  U+67A1            1        1       +0 동일
  艽  U+827D            3        3       +0 동일
  洵  U+6D35            1        1       +0 동일
  冻  U+51BB           12       12       +0 동일
  钵  U+94B5            1        1       +0 동일
  翻  U+7FFB           20       20       +0 동일
  栓  U+6813            3        3       +0 동일
  劝  U+529D           16       16       +0 동일
  锚  U+951A            7        7       +0 동일
  刈  U+5208            1        1       +0 동일
  捂  U+6342            1        1       +0 동일
  個  U+500B            7        7       +0 동일
  勾  U+52FE            2        2       +0 동일
  鸳  U+9E33            1        1       +0 동일
  腌  U+814C            1        1       +0 동일
  估  U+4F30            2        2       +0 동일
  风  U+98CE          150      150       +0 동일
  馈  U+9988            3        3       +0 동일
  身  U+8EAB          131      131       +0 동일
  員  U+54E1            1        1       +0 동일
  粲  U+7CB2            1        1       +0 동일
  璧  U+74A7            2        2       +0 동일
  押  U+62BC           18       18       +0 동일
  疝  U+759D            2        2       +0 동일
  培  U+57F9           10       10       +0 동일
  人  U+4EBA          977      977       +0 동일
  幌  U+5E4C            1        1       +0 동일
  卷  U+5377          115      115       +0 동일
  覊  U+898A            1        1       +0 동일
  惡  U+60E1            4        4       +0 동일
  硝  U+785D            4        4       +0 동일
  袅  U+8885            2        2       +0 동일
  赳  U+8D73            6        6       +0 동일
  蜜  U+871C            7        7       +0 동일
  育  U+80B2           44       44       +0 동일
  捻  U+637B            4        4       +0 동일
  晖  U+6656            1        1       +0 동일
  图  U+56FE           40       40       +0 동일
  避  U+907F            8        8       +0 동일
  玩  U+73A9            8        8       +0 동일
  量  U+91CF          204      204       +0 동일
  蓉  U+84C9            1        1       +0 동일
  侣  U+4FA3            3        3       +0 동일
  宾  U+5BBE           19       19       +0 동일
  採  U+63A1            2        2       +0 동일
  李  U+674E           34       34       +0 동일
  锡  U+9521            2        2       +0 동일
  桁  U+6841            3        3       +0 동일
  职  U+804C           38       38       +0 동일
  羽  U+7FBD           15       15       +0 동일
  侘  U+4F98           33       33       +0 동일
  镛  U+955B            2        2       +0 동일
  侖  U+4F96           21       21       +0 동일
  披  U+62AB            5        5       +0 동일
  間  U+9593           56       56       +0 동일
  辰  U+F971            1        1       +0 동일
  醒  U+9192           20       20       +0 동일
  䌹  U+4339            2        2       +0 동일
  蠷  U+8837            1        1       +0 동일
  疵  U+75B5            1        1       +0 동일
  校  U+6821           91       91       +0 동일
  蔟  U+851F            1        1       +0 동일
  弓  U+5F13           19       19       +0 동일
  锐  U+9510            5        5       +0 동일
  紹  U+7D39            2        2       +0 동일
  澽  U+6FBD            2        2       +0 동일
  路  U+8DEF          147      147       +0 동일
  蒂  U+8482            1        1       +0 동일
  薯  U+85AF            3        3       +0 동일
  萝  U+841D            8        8       +0 동일
  諧  U+8AE7            2        2       +0 동일
  滴  U+6EF4           13       13       +0 동일
  錦  U+9326            1        1       +0 동일
  月  U+6708          105      105       +0 동일
  核  U+6838           52       52       +0 동일
  绺  U+7EFA            3        3       +0 동일
  赎  U+8D4E            6        6       +0 동일
  昇  U+6607            4        4       +0 동일
  浸  U+6D78           67       67       +0 동일
  鯨  U+9BE8            4        4       +0 동일
